reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,date,nsmc
a74ab9e7-5b6b-4665-b8e5-4c0a82459cf6,김선구,https://play-lh.googleusercontent.com/a/AItbvmmNvaA-pMPgFOUxL1zH37isx2YuRvqwaDfQyyJk6Q=mo,"고객정보확인인가 그거 신분증 실패했다고 하거나, 본인확인증 찍고 다음화면이 잘려서 수정도 안되는 그런 상황이 발생되는데 수정바랍니다. 구형폰입니다. 안드로이드6 루나900s",1,0,8.9,2022-08-08 07:21:10,,,202208,0.083233245
0df5ae4e-ff08-434a-b7a2-62da3181b586,정수정,https://play-lh.googleusercontent.com/a/AItbvmnp_IV673whGVfAqIQVRJEyG2kWla5Q8m0isfzE=mo,카카오페이 인증으로 접속이 안되서 ID로 접속하려구 했는데 등록된 단말이 아니라고 ID해지하고 재등록하라구해서 해지하고나서 재등록하려는데 계좌번호입력창에서 숫자가 11자리밖에 입력이 안되서 재등록이 안됩니다.. 그래서 접속이 불가능한데 어떻게 접속해야하나요?,1,0,8.88,2022-08-07 23:38:18,,,202208,0.0029962957
c3169719-6a19-4995-92f2-2eca597ef652,zenter,https://play-lh.googleusercontent.com/a-/AFdZuco6Xjv37VnhLE3Kf_uc9Z5HnmnXRjjlUuu6aI9M,"PC용까지 쓰려면 믿고 걸러야 합니다. 600만원짜리 PC, 3개의 HTS 사용자지만 거래량 폭증하면 나무증권만 버벅거리다 종료! 나무개발자도 알고 있음 최악의 HTS!",1,0,8.9,2022-08-05 23:52:17,,,202208,0.0010181338
cda3efef-4429-4007-b1cb-14bd6fd42b4b,홍길동,https://play-lh.googleusercontent.com/a/AItbvmlx67MVDO3JwOWvWFFMX99Etg-RFh7scgvxgjsU=mo,미장 주식 업데이트 할때마다 회사 주주정보에 총주식수와 유동주식수 나오던게 업데이트만 하면 나오다가 다음 업데이트때는 안나오고 이번 업데이트 후에도 안나오고 거참 심난하네,1,0,8.9,2022-08-05 23:22:37,,,202208,0.048386134
996572c2-f4cb-4efe-a400-40b0f0123413,이용현,https://play-lh.googleusercontent.com/a/AItbvmml5_pwNbTWbq9xfuY4etn1jFfRhCDdOKsxlkHl=mo,해외주식도 차트에 매매내역을 남길 수 있도록 해주세요! 꼭 부탁드려요!,1,0,8.9,2022-08-05 15:22:57,,,202208,0.98205674
8a3fdc87-5ee2-4298-906d-683e5949874a,현무4,https://play-lh.googleusercontent.com/a/AItbvmntb1oqSyx_taBXx-dNJL-6j-izpPuuzr2Pkk-y=mo,쉽다.,1,0,8.89,2022-08-03 23:33:42,,,202208,0.00048103128
9f4bd011-0cec-453e-aa21-e94d6ea99a9b,이교선,https://play-lh.googleusercontent.com/a/AItbvmkF9qtrvigJzmXERFNuQuDwYUkAGiVsVQ8fo5fl=mo,느려 터져 답답해.정보를 다른 증권사 앱을 이용하다니.,1,0,8.9,2022-08-03 19:53:30,,,202208,0.0003944408
481aed3a-ecc4-4e28-a51f-fee2199a2b41,고현준,https://play-lh.googleusercontent.com/a/AItbvmmfMky-ca1Tl85GQBnScG8Xo9Hu2qjYXjvaCB2O=mo,너무너무너무너무너무 좋습니다,1,0,8.9,2022-08-03 16:30:04,,,202208,0.9919119
a5aebcb6-4425-4547-afdc-941db379bfba,송현석,https://play-lh.googleusercontent.com/a/AItbvmmC4QU1ObIYhEuknAMTiYT2CJ0GNvKT4zCIhxt3=mo,이거 어플 왜이렇게 멈춤현상 렉걸림이ㅡ심한가요,1,0,8.9,2022-08-02 09:32:01,,,202208,0.0010714628
04294511-c344-47d7-84c6-4f8ddb209d22,개쩔탱,https://play-lh.googleusercontent.com/a/AItbvmnsCLAkkJZVlla6-JYEifeDqniBrD_RwmIZgpON=mo,해외주식거래 LOC매수를 엄청이용하고있는데요 요 며칠 계속 매수가 안되고있네요?? 내가 걸어둔 금액보다 한참밑인데도 매수는 안되어있고 취소가 되어있는데 왜 이런겁니까??,1,0,8.9,2022-08-02 08:04:26,"안녕하세요, 개쩔탱님! 나무증권입니다. 먼저 이용에 불편을 드려 죄송합니다. 다만, 해당 리뷰만으로는 확인이 어렵습니다. 번거로우시겠지만 당사 고객센터(1544-0000)으로 문의주시면 해당 오류의 원인을 신속하게 파악하여 답변 드리겠습니다. 감사합니다. -나무증권 드림",2022-08-03 13:57:53,202208,0.0024206568
